,Product_Names,Product_Prices,Product_Description,Product_Reviews,Product_History
59,"Apple iPhone 16 Plus (Ultramarine, 512 GB)","₹1,19,900","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,413 Ratings & 36 Reviews
60,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)","₹1,29,900","256 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,531 Ratings & 33 Reviews
61,"Apple iPhone 16 (Ultramarine, 512 GB)","₹1,09,900","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"1,625 Ratings & 59 Reviews"
62,"Apple iPhone 16 Pro (Black Titanium, 512 GB)","₹1,49,900","512 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,531 Ratings & 33 Reviews
63,"Apple iPhone 16 Pro (Black Titanium, 1 TB)","₹1,69,900","1 TB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,531 Ratings & 33 Reviews
64,"Apple iPhone 12 Pro (Pacific Blue, 128 GB)","₹1,09,900","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode Portraits1 year warranty for phone and 1 year warranty for in Box Accessories.",4.5,"1,339 Ratings & 98 Reviews"
65,"Apple iPhone 12 (Black, 256 GB)","₹64,900","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"2,11,825 Ratings & 13,928 Reviews"
66,"Apple iPhone 16 Pro (Desert Titanium, 512 GB)","₹1,49,900","512 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,531 Ratings & 33 Reviews
67,"Apple iPhone 14 (Starlight, 256 GB)","₹69,900","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"3,08,434 Ratings & 11,640 Reviews"
68,"Apple iPhone 16 (White, 512 GB)","₹1,09,900","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"1,625 Ratings & 59 Reviews"
